2025-07-16 19:35:46
density=1,type_number=20,gamma=1,w_std=0.5,r_min=0,dist_hyperpara=10,dist_type=poisson
gamma OFF COL
0.1,1.0,0.091
0.2,1.0,0.172
0.3,1.0,0.251
0.4,1.0,0.299
0.5,1.0,0.382
0.6,1.0,0.421
0.7,1.0,0.468
0.8,1.0,0.503
0.9,1.0,0.537
1,1.0,0.596
2,1.0,0.655
3,1.0,0.684
4,1.0,0.669
5,1.0,0.689
6,1.0,0.689
7,1.0,0.668
8,1.0,0.685
9,1.0,0.66
10,1.0,0.688
2025-07-16 19:36:49
density=1,type_number=20,gamma=1,w_std=1,r_min=0,dist_hyperpara=10,dist_type=poisson
gamma OFF COL
0.1,1.0,0.087
0.2,1.0,0.185
0.3,1.0,0.231
0.4,1.0,0.297
0.5,1.0,0.395
0.6,1.0,0.443
0.7,1.0,0.488
0.8,1.0,0.533
0.9,1.0,0.571
1,1.0,0.6
2,1.0,0.685
3,1.0,0.691
4,1.0,0.69
5,1.0,0.7
6,1.0,0.707
7,1.0,0.685
8,1.0,0.698
9,1.0,0.705
10,1.0,0.709
2025-07-16 19:37:51
density=1,type_number=20,gamma=1,w_std=3,r_min=0,dist_hyperpara=10,dist_type=poisson
gamma OFF COL
0.1,1.0,0.095
0.2,1.0,0.189
0.3,1.0,0.251
0.4,1.0,0.324
0.5,1.0,0.392
0.6,1.0,0.452
0.7,1.0,0.502
0.8,1.0,0.529
0.9,1.0,0.576
1,1.0,0.61
2,1.0,0.687
3,1.0,0.706
4,1.0,0.683
5,1.0,0.702
6,1.0,0.703
7,1.0,0.709
8,1.0,0.723
9,1.0,0.715
10,1.0,0.706
2025-07-16 19:38:54
density=1,type_number=20,gamma=1,w_std=5,r_min=0,dist_hyperpara=10,dist_type=poisson
gamma OFF COL
0.1,1.0,0.099
0.2,1.0,0.18
0.3,1.0,0.245
0.4,1.0,0.318
0.5,1.0,0.391
0.6,1.0,0.438
0.7,1.0,0.49
0.8,1.0,0.528
0.9,1.0,0.598
1,1.0,0.64
2,1.0,0.653
3,1.0,0.721
4,1.0,0.703
5,1.0,0.688
6,1.0,0.715
7,1.0,0.724
8,1.0,0.691
9,1.0,0.726
10,1.0,0.718
