2025-07-16 19:32:07
density=1,type_number=20,gamma=1,w_std=0.5,r_min=0,dist_hyperpara=10,dist_type=uni_fix_b
gamma OFF COL
0.1,1.0,0.097
0.2,1.0,0.192
0.3,1.0,0.262
0.4,1.0,0.325
0.5,1.0,0.391
0.6,1.0,0.428
0.7,1.0,0.498
0.8,1.0,0.551
0.9,1.0,0.574
1,1.0,0.61
2,1.0,0.672
3,1.0,0.691
4,1.0,0.7
5,1.0,0.7
6,1.0,0.705
7,1.0,0.693
8,1.0,0.721
9,1.0,0.703
10,1.0,0.685
2025-07-16 19:32:59
density=1,type_number=20,gamma=1,w_std=1,r_min=0,dist_hyperpara=10,dist_type=uni_fix_b
gamma OFF COL
0.1,1.0,0.095
0.2,1.0,0.19
0.3,1.0,0.255
0.4,1.0,0.322
0.5,1.0,0.404
0.6,1.0,0.452
0.7,1.0,0.516
0.8,1.0,0.549
0.9,1.0,0.575
1,1.0,0.611
2,1.0,0.683
3,1.0,0.691
4,1.0,0.712
5,1.0,0.712
6,1.0,0.7
7,1.0,0.7
8,1.0,0.706
9,1.0,0.705
10,1.0,0.704
2025-07-16 19:33:51
density=1,type_number=20,gamma=1,w_std=3,r_min=0,dist_hyperpara=10,dist_type=uni_fix_b
gamma OFF COL
0.1,1.0,0.102
0.2,1.0,0.189
0.3,1.0,0.273
0.4,1.0,0.346
0.5,1.0,0.405
0.6,1.0,0.468
0.7,1.0,0.51
0.8,1.0,0.538
0.9,1.0,0.601
1,1.0,0.627
2,1.0,0.707
3,1.0,0.702
4,1.0,0.717
5,1.0,0.712
6,1.0,0.724
7,1.0,0.716
8,1.0,0.708
9,1.0,0.713
10,1.0,0.72
2025-07-16 19:34:44
density=1,type_number=20,gamma=1,w_std=5,r_min=0,dist_hyperpara=10,dist_type=uni_fix_b
gamma OFF COL
0.1,1.0,0.107
0.2,1.0,0.19
0.3,1.0,0.26
0.4,1.0,0.335
0.5,1.0,0.417
0.6,1.0,0.47
0.7,1.0,0.534
0.8,1.0,0.555
0.9,1.0,0.623
1,1.0,0.638
2,1.0,0.711
3,1.0,0.732
4,1.0,0.708
5,1.0,0.724
6,1.0,0.722
7,1.0,0.72
8,1.0,0.731
9,1.0,0.745
10,1.0,0.722
