02/07/2025 16:09,,,,,,
density=1,type_number=20,gamma=1,w_std=0.5,r_min=0,dist_hyperpara=10,dist_type=poisson
col_th OFF COLTH,,,,,,
0.1,1,0.684,,,,
0.2,1,0.645,,,,
0.3,1,0.657,,,,
0.4,1,0.609,,,,
0.5,1,0.626,,,,
0.6,1,0.635,,,,
0.7,1,0.584,,,,
0.8,1,0.609,,,,
0.9,1,0.578,,,,
1,1,0.606,,,,
02/07/2025 16:09,,,,,,
density=1,type_number=20,gamma=1,w_std=1,r_min=0,dist_hyperpara=10,dist_type=poisson
col_th OFF COLTH,,,,,,
0.1,1,0.683,,,,
0.2,1,0.694,,,,
0.3,1,0.67,,,,
0.4,1,0.66,,,,
0.5,1,0.621,,,,
0.6,1,0.626,,,,
0.7,1,0.631,,,,
0.8,1,0.611,,,,
0.9,1,0.62,,,,
1,1,0.619,,,,
02/07/2025 16:10,,,,,,
density=1,type_number=20,gamma=1,w_std=3,r_min=0,dist_hyperpara=10,dist_type=poisson
col_th OFF COLTH,,,,,,
0.1,1,0.698,,,,
0.2,1,0.699,,,,
0.3,1,0.704,,,,
0.4,1,0.676,,,,
0.5,1,0.631,,,,
0.6,1,0.667,,,,
0.7,1,0.658,,,,
0.8,1,0.603,,,,
0.9,1,0.641,,,,
1,1,0.625,,,,
02/07/2025 16:10,,,,,,
density=1,type_number=20,gamma=1,w_std=5,r_min=0,dist_hyperpara=10,dist_type=poisson
col_th OFF COLTH,,,,,,
0.1,1,0.69,,,,
0.2,1,0.695,,,,
0.3,1,0.663,,,,
0.4,1,0.657,,,,
0.5,1,0.644,,,,
0.6,1,0.652,,,,
0.7,1,0.645,,,,
0.8,1,0.647,,,,
0.9,1,0.64,,,,
1,1,0.634,,,,
2025-07-03 14:21:55
density=1,type_number=20,gamma=1,w_std=0.5,r_min=0,dist_hyperpara=10,dist_type=poisson
col_th OFF COLTH
0.0,1.0,0.689
0.1,1.0,0.666
0.2,1.0,0.65
0.3,1.0,0.659
0.4,1.0,0.638
0.5,1.0,0.626
0.6,1.0,0.607
0.7,1.0,0.578
0.8,1.0,0.578
0.9,1.0,0.591
1,1.0,0.6
2025-07-03 14:22:29
density=1,type_number=20,gamma=1,w_std=1,r_min=0,dist_hyperpara=10,dist_type=poisson
col_th OFF COLTH
0.0,1.0,0.721
0.1,1.0,0.717
0.2,1.0,0.701
0.3,1.0,0.675
0.4,1.0,0.64
0.5,1.0,0.631
0.6,1.0,0.653
0.7,1.0,0.611
0.8,1.0,0.626
0.9,1.0,0.603
1,1.0,0.606
2025-07-03 14:23:37
density=1,type_number=20,gamma=1,w_std=3,r_min=0,dist_hyperpara=10,dist_type=poisson
col_th OFF COLTH
0.0,1.0,0.712
0.1,1.0,0.716
0.2,1.0,0.692
0.3,1.0,0.691
0.4,1.0,0.657
0.5,1.0,0.651
0.6,1.0,0.627
0.7,1.0,0.632
0.8,1.0,0.638
0.9,1.0,0.65
1,1.0,0.627
2025-07-03 14:24:12
density=1,type_number=20,gamma=1,w_std=5,r_min=0,dist_hyperpara=10,dist_type=poisson
col_th OFF COLTH
0.0,1.0,0.713
0.1,1.0,0.692
0.2,1.0,0.692
0.3,1.0,0.687
0.4,1.0,0.679
0.5,1.0,0.686
0.6,1.0,0.64
0.7,1.0,0.652
0.8,1.0,0.654
0.9,1.0,0.63
1,1.0,0.616
